
"((-49.9545899, -23.1512847), (-49.9544075, -23.1512898))",primary,road
"((-49.288258, -25.5091394), (-49.2880724, -25.5089059))",service,road
"((-52.4998695, -24.5071482), (-52.5012589, -24.5053836))",service,road
"((-55.4722559, -22.1602243), (-55.4700197, -22.1603019))",unclassified,road
"((-76.8371398, -11.6939782), (-76.837029, -11.6939845))",unclassified,road
"((-46.7138216, -22.6949507), (-46.7137586, -22.6949544))",service,road
"((-50.881272, -24.5439983), (-50.8817346, -24.5445949))",unclassified,road
"((-46.4058249, -23.6476999), (-46.4057491, -23.6476937))",service,road
"((-58.3955526, -18.8828567), (-58.3997773, -18.8787627))",unclassified,road
"((-50.5145949, -25.871419), (-50.5144876, -25.8713925))",unclassified,road
"((-58.8261971, -21.9456229), (-58.8262137, -21.9481854))",unclassified,road
"((-46.7394179, -23.3924444), (-46.7394005, -23.3924087))",unclassified,road
"((-49.5363789, -25.4538483), (-49.5368894, -25.4547669))",tertiary,road
"((-80.3738614, -1.1489731), (-80.3736549, -1.1488658))",unclassified,road
"((-47.3703381, -22.5900868), (-47.3702735, -22.590035))",primary,road
"((-56.3130212, -12.6723761), (-56.3134074, -12.6722347))",unclassified,road
"((-72.1568895, -14.3839183), (-72.1568626, -14.3838612))",unclassified,road
"((-49.0016849, -23.1713408), (-49.0018867, -23.1717414))",unclassified,road
"((-47.0841639, -23.2234948), (-47.0833556, -23.2223579))",secondary,road
"((-67.2278051, -19.1743179), (-67.227822, -19.1743258))",unclassified,road
"((-76.8205981, -12.3132978), (-76.820538, -12.3132608))",service,road
"((-49.0711068, -25.4523983), (-49.0711654, -25.4524103))",secondary,road
"((-79.8661301, -2.0101317), (-79.8661154, -2.010149))",primary,road
"((-80.0437562, -2.1909736), (-80.0439888, -2.1907771))",service,road
"((-46.9270009, -23.8339007), (-46.9270331, -23.8337952))",unclassified,road
"((-46.7123038, -23.7295863), (-46.7123118, -23.7295587))",service,road
"((-62.6285452, -12.2370009), (-62.6287866, -12.2378188))",unclassified,road
"((-79.0784989, -3.0645423), (-79.0787295, -3.0646655))",unclassified,road
"((-77.3406877, -5.959132), (-77.3413548, -5.959834))",tertiary,road
"((-56.3784979, -21.0602945), (-56.3788307, -21.0609156))",unclassified,road
"((-68.0069911, -18.0365848), (-68.0060095, -18.0354831))",unclassified,road
"((-47.3994526, -22.7394782), (-47.3992994, -22.7394295))",secondary,road
"((-65.9468127, -17.8570578), (-65.9467485, -17.8570866))",primary,road
