start_indices,desitnation_indices,start_loc,end_loc,cost,truth
"(393, 547)","(114, 48)","54.725,-1.4416666666666664","57.05,-5.6",inf,-1.6666666666666667
"(114, 48)","(8, 143)","57.05,-5.6","57.93333333333333,-4.808333333333334",inf,-1.6666666666666667
"(8, 143)","(116, 350)","57.93333333333333,-4.808333333333334","57.03333333333333,-3.0833333333333335",272.64862060546875,222.78333333333333
"(116, 350)","(317, 353)","57.03333333333333,-3.0833333333333335","55.358333333333334,-3.0583333333333336",260.810791015625,257.6666666666667
"(317, 353)","(230, 64)","55.358333333333334,-3.0583333333333336","56.083333333333336,-5.466666666666667",281.3741455078125,264.48333333333335
"(230, 64)","(186, 133)","56.083333333333336,-5.466666666666667","56.45,-4.891666666666667",87.1292724609375,83.66666666666667
"(186, 133)","(285, 411)","56.45,-4.891666666666667","55.625,-2.575",254.5502471923828,189.73333333333332
"(285, 411)","(273, 398)","55.625,-2.575","55.725,-2.6833333333333336",20.04210662841797,15.5
"(273, 398)","(95, 361)","55.725,-2.6833333333333336","57.208333333333336,-2.9916666666666667",254.4618377685547,209.63333333333333
"(95, 361)","(182, 103)","57.208333333333336,-2.9916666666666667","56.483333333333334,-5.141666666666667",314.9540100097656,246.25
"(182, 103)","(237, 100)","56.483333333333334,-5.141666666666667","56.025,-5.166666666666667",78.757080078125,100.48333333333333
"(237, 100)","(247, 101)","56.025,-5.166666666666667","55.94166666666667,-5.158333333333333",19.60320281982422,13.183333333333334
"(247, 101)","(115, 376)","55.94166666666667,-5.158333333333333","57.041666666666664,-2.8666666666666667",343.7808532714844,259.25
"(115, 376)","(269, 396)","57.041666666666664,-2.8666666666666667","55.75833333333333,-2.7",237.10633850097656,191.36666666666667
"(269, 396)","(391, 176)","55.75833333333333,-2.7","54.74166666666667,-4.533333333333333",254.2630615234375,209.75
"(391, 176)","(416, 518)","54.74166666666667,-4.533333333333333","54.53333333333333,-1.6833333333333336",313.9324951171875,207.91666666666666
"(416, 518)","(334, 223)","54.53333333333333,-1.6833333333333336","55.21666666666667,-4.141666666666667",267.09649658203125,171.86666666666667
"(334, 223)","(455, 505)","55.21666666666667,-4.141666666666667","54.208333333333336,-1.791666666666667",288.0743713378906,206.8
"(455, 505)","(134, 397)","54.208333333333336,-1.791666666666667","56.88333333333333,-2.691666666666667",416.4986572265625,331.35
"(134, 397)","(400, 298)","56.88333333333333,-2.691666666666667","54.666666666666664,-3.5166666666666666",337.8597106933594,259.75
"(400, 298)","(140, 419)","54.666666666666664,-3.5166666666666666","56.833333333333336,-2.5083333333333333",340.25482177734375,253.86666666666667
"(140, 419)","(173, 255)","56.833333333333336,-2.5083333333333333","56.55833333333333,-3.875",165.0692901611328,113.8
"(173, 255)","(397, 563)","56.55833333333333,-3.875","54.69166666666667,-1.3083333333333336",348.8462219238281,268.0833333333333
"(397, 563)","(183, 329)","54.69166666666667,-1.3083333333333336","56.475,-3.2583333333333333",308.3808288574219,224.43333333333334
"(183, 329)","(50, 249)","56.475,-3.2583333333333333","57.583333333333336,-3.925",203.2762451171875,150.03333333333333
"(50, 249)","(482, 636)","57.583333333333336,-3.925","53.983333333333334,-0.7000000000000002",597.8719482421875,437.2
"(482, 636)","(131, 18)","53.983333333333334,-0.7000000000000002","56.90833333333333,-5.85",603.3692016601562,448.65
"(131, 18)","(165, 367)","56.90833333333333,-5.85","56.625,-2.941666666666667",321.4055480957031,202.18333333333334
"(165, 367)","(239, 139)","56.625,-2.941666666666667","56.00833333333333,-4.841666666666667",219.17474365234375,148.55
"(239, 139)","(398, 417)","56.00833333333333,-4.841666666666667","54.68333333333334,-2.525",240.66993713378906,191.8
