
"((-52.9971188, -26.2101043), (-52.996911, -26.20999))",service,road
"((-52.996911, -26.20999), (-52.9966776, -26.2098577))",service,road
"((-50.7652001, -25.5976594), (-50.7651266, -25.5974007))",unclassified,road
"((-50.7651266, -25.5974007), (-50.7650971, -25.5971515))",unclassified,road
"((-50.7650971, -25.5971515), (-50.7651615, -25.596854))",unclassified,road
"((-50.7651615, -25.596854), (-50.7651186, -25.5965806))",unclassified,road
"((-50.7651186, -25.5965806), (-50.7651132, -25.5962686))",unclassified,road
"((-60.7096365, -32.8658275), (-60.709729, -32.8658129))",service,road
"((-60.709729, -32.8658129), (-60.7097974, -32.8658331))",service,road
"((-60.7097974, -32.8658331), (-60.7100496, -32.8659514))",service,road
"((-60.7100496, -32.8659514), (-60.710176, -32.8660123))",service,road
"((-60.710176, -32.8660123), (-60.7102118, -32.8660438))",service,road
"((-65.1975157, -26.8339869), (-65.1978651, -26.8353867))",primary,road
"((-73.0152816, -38.8646857), (-73.0153808, -38.8650177))",unclassified,road
"((-73.0153808, -38.8650177), (-73.0154184, -38.8652287))",unclassified,road
"((-73.0154184, -38.8652287), (-73.0154586, -38.8654563))",unclassified,road
"((-73.0154586, -38.8654563), (-73.0154828, -38.8656305))",unclassified,road
"((-73.0154828, -38.8656305), (-73.0155015, -38.8658051))",unclassified,road
"((-58.6534474, -34.4443572), (-58.6533767, -34.4442984))",tertiary,road
"((-70.7528213, -34.1632566), (-70.7529413, -34.163583))",service,road
"((-64.1863506, -31.4005262), (-64.1860798, -31.3998919))",primary,road
"((-64.1860798, -31.3998919), (-64.1858857, -31.3994372))",primary,road
"((-72.8592156, -36.8428235), (-72.8593433, -36.8428079))",unclassified,road
"((-72.8593433, -36.8428079), (-72.8594838, -36.8427943))",unclassified,road
"((-72.8594838, -36.8427943), (-72.8596234, -36.8427756))",unclassified,road
"((-72.8596234, -36.8427756), (-72.8597618, -36.8427521))",unclassified,road
"((-72.8597618, -36.8427521), (-72.8598872, -36.8427262))",unclassified,road
"((-71.2286033, -32.858116), (-71.2280049, -32.8582622))",secondary,road
"((-71.2280049, -32.8582622), (-71.2276388, -32.8583295))",secondary,road
"((-71.2276388, -32.8583295), (-71.2270091, -32.8584401))",secondary,road
"((-71.2270091, -32.8584401), (-71.2262715, -32.8585455))",secondary,road
"((-71.2262715, -32.8585455), (-71.2258361, -32.8586099))",secondary,road
"((-71.6037127, -33.993702), (-71.6032917, -33.9941249))",service,road
"((-71.6032917, -33.9941249), (-71.6032005, -33.9943339))",service,road
"((-71.6032005, -33.9943339), (-71.6031361, -33.9944985))",service,road
"((-71.6031361, -33.9944985), (-71.6031039, -33.9948009))",service,road
"((-71.6031039, -33.9948009), (-71.6030449, -33.9949254))",service,road
"((-58.8880525, -34.5877787), (-58.8882384, -34.587488))",service,road
"((-58.8882384, -34.587488), (-58.8882435, -34.5874226))",service,road
"((-58.8882435, -34.5874226), (-58.8881792, -34.5873475))",service,road
"((-58.8881792, -34.5873475), (-58.8880221, -34.5872627))",service,road
"((-58.8880221, -34.5872627), (-58.8879439, -34.5872309))",service,road
"((-55.1524937, -27.5136002), (-55.1527853, -27.5128352))",secondary,road
"((-49.0137414, -28.4271646), (-49.0138507, -28.4274058))",primary,road
"((-49.0138507, -28.4274058), (-49.0139151, -28.4275432))",primary,road
"((-49.0139151, -28.4275432), (-49.0140311, -28.4277773))",primary,road
"((-49.0140311, -28.4277773), (-49.0141209, -28.4279448))",primary,road
"((-49.0141209, -28.4279448), (-49.0142235, -28.428124))",primary,road
"((-62.7421796, -33.4634897), (-62.7420059, -33.4626512))",unclassified,road
"((-71.8384168, -36.1400907), (-71.83837, -36.1399281))",secondary,road
"((-71.83837, -36.1399281), (-71.8383122, -36.1397268))",secondary,road
"((-56.5129113, -23.8174318), (-56.513122, -23.8174689))",service,road
"((-56.513122, -23.8174689), (-56.5134231, -23.8177037))",service,road
"((-56.5134231, -23.8177037), (-56.5134903, -23.8177756))",service,road
"((-56.5134903, -23.8177756), (-56.5140945, -23.8184218))",service,road
"((-56.5140945, -23.8184218), (-56.514129, -23.8186024))",service,road
"((-64.3247859, -31.2400404), (-64.324801, -31.2400903))",unclassified,road
"((-64.324801, -31.2400903), (-64.325161, -31.2405917))",unclassified,road
"((-64.325161, -31.2405917), (-64.3252304, -31.2407079))",unclassified,road
"((-64.3252304, -31.2407079), (-64.3252646, -31.2407668))",unclassified,road
"((-64.3252646, -31.2407668), (-64.3253004, -31.2408122))",unclassified,road
"((-58.7258607, -34.3449241), (-58.7257421, -34.3449205))",service,road
"((-58.7257421, -34.3449205), (-58.7252947, -34.3449697))",service,road
"((-58.7252947, -34.3449697), (-58.7247592, -34.3449961))",service,road
geometry,class,subtype
"((-72.9032267, -7.6085928), (-72.903207, -7.6085716))",secondary,road
"((-46.9669725, -23.1415463), (-46.9670074, -23.1414865))",service,road
"((-46.9670074, -23.1414865), (-46.9670577, -23.1414014))",service,road
"((-46.9670577, -23.1414014), (-46.9671723, -23.1411973))",service,road
"((-78.6116107, -8.4889192), (-78.6121291, -8.4891438))",unclassified,road
"((-78.6121291, -8.4891438), (-78.6136365, -8.4899662))",unclassified,road
"((-78.6136365, -8.4899662), (-78.6180675, -8.4924704))",unclassified,road
"((-78.6180675, -8.4924704), (-78.6233139, -8.495675))",unclassified,road
"((-78.6233139, -8.495675), (-78.6246443, -8.4964284))",unclassified,road
"((-76.9516747, -12.1524589), (-76.9516065, -12.1524772))",service,road
"((-76.9516065, -12.1524772), (-76.9515407, -12.1524953))",service,road
"((-76.9515407, -12.1524953), (-76.9515244, -12.1524906))",service,road
"((-76.9515244, -12.1524906), (-76.9515139, -12.1524784))",service,road
"((-76.9515139, -12.1524784), (-76.9514986, -12.1524256))",service,road
"((-51.3261259, -24.845943), (-51.3270199, -24.846025))",unclassified,road
"((-80.7021547, -5.0103602), (-80.7020769, -5.0103735))",service,road
"((-80.7020769, -5.0103735), (-80.7005694, -5.0104754))",service,road
"((-80.7005694, -5.0104754), (-80.7004741, -5.0104963))",service,road
"((-50.5527467, -23.8979034), (-50.5525213, -23.8978556))",unclassified,road
"((-50.5525213, -23.8978556), (-50.5522236, -23.8978225))",unclassified,road
"((-50.5522236, -23.8978225), (-50.5519956, -23.8977562))",unclassified,road
"((-50.5519956, -23.8977562), (-50.5517851, -23.8976471))",unclassified,road
"((-50.5517851, -23.8976471), (-50.5517046, -23.8975981))",unclassified,road
"((-78.6101054, -0.9371726), (-78.6101045, -0.9373932))",tertiary,road
"((-78.6101045, -0.9373932), (-78.6101126, -0.9377166))",tertiary,road
"((-78.6101126, -0.9377166), (-78.6101321, -0.9379286))",tertiary,road
"((-47.0270291, -22.9533743), (-47.0266758, -22.9537501))",unclassified,road
"((-47.0266758, -22.9537501), (-47.026594, -22.9538563))",unclassified,road
"((-47.026594, -22.9538563), (-47.0265381, -22.9539372))",unclassified,road
"((-46.7128472, -23.1400127), (-46.7128903, -23.1408305))",tertiary,road
"((-51.9168375, -23.3849864), (-51.9170703, -23.3852849))",primary,road
"((-51.9170703, -23.3852849), (-51.9185163, -23.3871129))",primary,road
"((-66.3702142, -18.1165537), (-66.3700999, -18.1165415))",unclassified,road
"((-66.3700999, -18.1165415), (-66.3698504, -18.1165794))",unclassified,road
"((-66.3698504, -18.1165794), (-66.3697606, -18.1165994))",unclassified,road
"((-66.3697606, -18.1165994), (-66.3696428, -18.1166074))",unclassified,road
"((-66.3696428, -18.1166074), (-66.3695291, -18.1165734))",unclassified,road
"((-50.695533, -22.2536046), (-50.6955414, -22.2536334))",secondary,road
"((-50.6955414, -22.2536334), (-50.695527, -22.25367))",secondary,road
"((-49.8657643, -22.9898958), (-49.8657136, -22.9905394))",secondary,road
"((-51.7892579, -24.7620282), (-51.7890817, -24.7620451))",tertiary,road
"((-51.7890817, -24.7620451), (-51.7885342, -24.7620985))",tertiary,road
"((-77.3053698, -5.9259602), (-77.3073296, -5.9283321))",tertiary,road
"((-77.3073296, -5.9283321), (-77.3080802, -5.9289844))",tertiary,road
"((-49.9545899, -23.1512847), (-49.9544075, -23.1512898))",primary,road
"((-49.288258, -25.5091394), (-49.2880724, -25.5089059))",service,road
"((-52.4991882, -24.5079487), (-52.4992923, -24.5077944))",service,road
"((-52.4992923, -24.5077944), (-52.4998695, -24.5071482))",service,road
"((-52.4998695, -24.5071482), (-52.5012589, -24.5053836))",service,road
"((-55.4722559, -22.1602243), (-55.4700197, -22.1603019))",unclassified,road
"((-76.8373937, -11.6940195), (-76.8371398, -11.6939782))",unclassified,road
"((-76.8371398, -11.6939782), (-76.837029, -11.6939845))",unclassified,road
"((-46.7138216, -22.6949507), (-46.7137586, -22.6949544))",service,road
