geometry,class,subtype
"((32.9873742, -2.44205), (32.9873619, -2.4421689))",unclassified,road
"((28.2097223, -15.3216962), (28.2098101, -15.3217338))",unclassified,road
"((33.3315608, -2.7577878), (33.3312166, -2.7573062))",unclassified,road
"((34.1114813, -14.4065341), (34.1116033, -14.4066172))",secondary,road
"((32.479856, -2.477184), (32.4798426, -2.4773073))",unclassified,road
"((39.7758002, -11.818149), (39.7744994, -11.817926))",unclassified,road
"((35.0593953, -4.6176896), (35.0596264, -4.6171313))",unclassified,road
"((29.2325694, -1.6951834), (29.2325345, -1.6952119))",service,road
"((33.1441422, -2.5606295), (33.1437296, -2.560366))",unclassified,road
"((19.6260673, -4.9236896), (19.6262357, -4.9238204))",unclassified,road
"((106.6931488, -6.6400041), (106.6931369, -6.6389145))",tertiary,road
"((106.4994083, -6.2356936), (106.4993854, -6.2346411))",tertiary,road
"((107.0124785, -6.7309713), (107.0124283, -6.7310839))",unclassified,road
"((48.2311095, -18.9447745), (48.2311396, -18.9447608))",secondary,road
"((34.7657365, -0.6512344), (34.766116, -0.6510614))",unclassified,road
"((110.9155145, -7.4479953), (110.9155668, -7.4478663))",service,road
"((106.5433565, -7.1443331), (106.5433948, -7.1441494))",primary,road
"((110.2418188, -7.4086894), (110.2421618, -7.408717))",unclassified,road
"((111.3123821, -7.6408539), (111.312437, -7.640936))",secondary,road
"((34.1752697, -0.5336202), (34.1758865, -0.5335802))",unclassified,road
"((100.6010717, -1.4412785), (100.6012326, -1.442097))",unclassified,road
"((109.4236424, -7.3059116), (109.4237141, -7.3066758))",unclassified,road
"((46.7669286, -19.0559149), (46.7676603, -19.0560763))",unclassified,road
"((106.1524479, -6.1935425), (106.1525477, -6.19355))",service,road
"((108.211211, -7.3759541), (108.2112527, -7.375871))",primary,road
"((109.0200503, -6.997349), (109.0201263, -6.9971704))",tertiary,road
"((115.7866274, -31.9900504), (115.7864933, -31.9899708))",tertiary,road
"((106.1601939, -6.1080007), (106.1600726, -6.1079992))",tertiary,road
"((106.9740889, -6.2999252), (106.9744942, -6.29986))",service,road
"((117.5540681, -34.3613082), (117.5538212, -34.3614664))",unclassified,road
"((35.9063972, -1.020209), (35.906165, -1.0204029))",unclassified,road
"((108.1773526, -7.3713934), (108.1773562, -7.3713693))",unclassified,road
"((107.6656776, -6.8853297), (107.665686, -6.8852528))",unclassified,road
"((106.6911036, -6.2375514), (106.6912917, -6.2376224))",unclassified,road
"((47.5821438, -19.1181817), (47.5820674, -19.1180613))",unclassified,road
"((40.1651922, -2.0869729), (40.1651224, -2.0869984))",unclassified,road
"((106.5983073, -6.5648382), (106.5983503, -6.5648768))",service,road
"((108.3470017, -6.4491962), (108.3469747, -6.4494605))",unclassified,road
"((106.1376954, -6.1033544), (106.1368427, -6.10325))",service,road
"((47.0747637, -21.4128866), (47.0747262, -21.4127367))",unclassified,road
"((34.358834, -1.1750609), (34.3588305, -1.1750096))",unclassified,road
"((109.9236697, -7.3473611), (109.9236725, -7.3473027))",tertiary,road
"((110.3584492, -7.7893369), (110.3584955, -7.7891581))",service,road
"((115.7509339, -33.2652821), (115.7509644, -33.2653021))",tertiary,road
"((47.7487332, -19.1856593), (47.7486607, -19.1857049))",service,road
"((47.5876906, -19.3901944), (47.5877711, -19.390035))",unclassified,road
"((40.1352346, -2.2764461), (40.1352695, -2.2764916))",unclassified,road
"((110.4229731, -7.7643502), (110.422239, -7.7641685))",tertiary,road
"((47.3676556, -20.0053859), (47.3676878, -20.0057841))",unclassified,road
"((35.3198043, -0.2585257), (35.3197228, -0.2582848))",unclassified,road
"((106.5640762, -6.1146607), (106.5643251, -6.114668))",tertiary,road
"((47.4031627, -15.6820524), (47.402755, -15.681882))",unclassified,road
"((112.2393751, -8.0032605), (112.2394221, -8.0029816))",unclassified,road
"((55.6150653, -21.3719828), (55.6157672, -21.3721208))",service,road
"((109.3834274, -7.6286416), (109.3833479, -7.6292827))",unclassified,road
"((110.597947, -7.7126071), (110.5980791, -7.7125824))",tertiary,road
"((110.8227078, -7.7172022), (110.8230411, -7.7172593))",tertiary,road
"((110.8296127, -7.5836669), (110.8295354, -7.5838922))",tertiary,road
"((117.566838, -33.6872335), (117.5676355, -33.6865224))",unclassified,road
"((107.4686109, -6.4553763), (107.4695757, -6.4554344))",service,road
"((110.8309481, -8.1746419), (110.8309629, -8.1745948))",unclassified,road
"((47.9672581, -18.2184748), (47.9673171, -18.2187729))",unclassified,road
"((106.7307842, -6.5344771), (106.7301004, -6.5346337))",service,road
"((111.3015199, -7.8478106), (111.3017218, -7.8478784))",unclassified,road
"((111.0427223, -7.6364268), (111.0427505, -7.636468))",tertiary,road
"((34.3145031, -0.2817596), (34.3146935, -0.2817086))",tertiary,road
"((116.952792, -30.7631872), (116.9663367, -30.7631735))",secondary,road
"((47.5200897, -18.8956902), (47.5204285, -18.8958387))",service,road
"((170.6607656, -45.5456314), (170.6606169, -45.5456756))",unclassified,road
"((110.2628177, -7.9547083), (110.263183, -7.9547777))",unclassified,road
"((35.0712897, -0.4290716), (35.0709289, -0.4290515))",unclassified,road
"((55.4883177, -21.3410157), (55.4883281, -21.3409919))",unclassified,road
"((115.9530048, -31.9773613), (115.952366, -31.9778831))",unclassified,road
"((115.716843, -31.6733755), (115.7168945, -31.673293))",secondary,road
"((115.7470292, -32.2618745), (115.7471433, -32.2618887))",service,road
"((47.3947352, -18.8986459), (47.3945033, -18.8986149))",unclassified,road
"((109.6539832, -7.3672537), (109.6540388, -7.3671626))",unclassified,road
"((115.7944916, -32.1011806), (115.7944554, -32.1012034))",secondary,road
"((47.2469098, -19.9928924), (47.2470928, -19.9928001))",unclassified,road
"((107.6867654, -6.9722754), (107.6867745, -6.972204))",service,road
"((46.8216765, -16.3547965), (46.8217946, -16.3546962))",unclassified,road
"((106.8941503, -6.9087399), (106.8943959, -6.908734))",service,road
"((112.1485957, -7.6025664), (112.1485391, -7.6026225))",tertiary,road
"((106.9102845, -6.6523579), (106.910316, -6.6523366))",service,road
"((47.4218049, -19.2344216), (47.4218602, -19.2347223))",unclassified,road
"((134.3959059, -32.4763589), (134.3960894, -32.4763044))",service,road
"((107.8631958, -6.7134283), (107.8631836, -6.7135131))",unclassified,road
"((47.5106509, -18.7502641), (47.5107092, -18.7498567))",tertiary,road
"((111.2466091, -7.7296594), (111.2465193, -7.7296264))",tertiary,road
"((116.191165, -33.401161), (116.191237, -33.401382))",unclassified,road
"((106.7945163, -6.7284095), (106.7945156, -6.7284315))",service,road
"((34.6855223, -0.5823203), (34.685403, -0.5822855))",unclassified,road
"((113.7041801, -24.8693752), (113.70412, -24.86952))",unclassified,road
"((105.9898267, -5.9964279), (105.9902647, -5.9962605))",service,road
"((111.6055215, -7.8357044), (111.6055825, -7.8356897))",unclassified,road
"((47.2905829, -21.1356474), (47.2907515, -21.1354997))",unclassified,road
"((110.8425845, -7.3408106), (110.8435795, -7.3399809))",primary,road
"((35.2149247, -0.9675126), (35.2145424, -0.9673263))",tertiary,road
"((49.099558, -16.0231231), (49.0995607, -16.0225611))",unclassified,road
"((111.4963549, -7.5548746), (111.4962852, -7.5552708))",unclassified,road
"((37.4176358, -0.9656063), (37.4180379, -0.9656435))",unclassified,road
"((49.705579, -13.7236189), (49.7055468, -13.7238378))",tertiary,road
"((36.7805897, -1.3037086), (36.7806078, -1.3041826))",service,road
"((39.0162076, -0.7229783), (39.0162519, -0.7231258))",unclassified,road
"((106.26324, -6.361221), (106.2633906, -6.3618033))",service,road
"((110.5704425, -7.4372254), (110.5705298, -7.4372408))",unclassified,road
"((115.8946662, -32.0027506), (115.8946576, -32.0024661))",service,road
"((108.5913697, -6.7468503), (108.5912972, -6.7467211))",service,road
"((107.9792332, -7.4600389), (107.979071, -7.4599566))",secondary,road
"((106.7633243, -6.8067536), (106.7633537, -6.8066718))",tertiary,road
"((37.5773782, -0.539277), (37.5772963, -0.5388639))",unclassified,road
"((107.55242, -7.0034825), (107.5517549, -7.0033134))",service,road
"((36.7622025, -1.2896943), (36.7621373, -1.2896988))",secondary,road
"((111.2910506, -7.8626279), (111.2910895, -7.8625694))",tertiary,road
"((110.8125005, -8.0470653), (110.8135839, -8.047118))",unclassified,road
"((107.6603535, -6.9390409), (107.6603307, -6.9391168))",service,road
"((37.0154567, -1.5166992), (37.0151885, -1.5163707))",unclassified,road
"((109.3098664, -7.1537896), (109.3096483, -7.153516))",primary,road
"((110.7098016, -7.4183596), (110.7096865, -7.4193491))",unclassified,road
"((115.8099872, -31.9864376), (115.809005, -31.9864408))",tertiary,road
"((106.4082608, -6.1554101), (106.4079177, -6.1554049))",tertiary,road
"((107.1512938, -6.3328795), (107.151315, -6.3329447))",tertiary,road
"((55.4572205, -21.3346684), (55.4572759, -21.3346914))",service,road
"((115.7743256, -32.0671219), (115.7743344, -32.0671423))",tertiary,road
"((36.7468885, -0.9880017), (36.7468965, -0.9882887))",unclassified,road
"((36.9891929, -0.7088321), (36.9893306, -0.7088804))",secondary,road
"((170.9180753, -45.0691311), (170.918107, -45.0737139))",tertiary,road
"((34.4693028, -1.6771498), (34.4702254, -1.6768495))",unclassified,road
"((109.4117684, -6.9161583), (109.4117394, -6.9166515))",tertiary,road
"((35.5728132, -0.3093242), (35.5734864, -0.3094584))",tertiary,road
"((109.4980931, -7.5858261), (109.4980945, -7.585422))",tertiary,road
"((116.0243776, -31.6773499), (116.0243529, -31.6774202))",service,road
"((47.3901936, -19.4221181), (47.3901985, -19.4226567))",unclassified,road
"((112.4868384, -7.5953124), (112.4868225, -7.5950812))",primary,road
"((106.3753313, -6.1865768), (106.3754361, -6.1861357))",tertiary,road
"((107.0306634, -6.3504097), (107.0308618, -6.350252))",secondary,road
"((46.9745782, -19.9680044), (46.9750012, -19.9673316))",unclassified,road
"((47.2928158, -19.5567654), (47.2926561, -19.5568126))",unclassified,road
"((34.8710896, -0.6530997), (34.871099, -0.6528691))",tertiary,road
"((107.7672922, -7.0453108), (107.7677215, -7.0449484))",primary,road
"((48.0370063, -17.735612), (48.0369446, -17.7356018))",unclassified,road
"((115.9184075, -31.9701892), (115.9184128, -31.9702238))",service,road
"((35.7635236, -1.0799651), (35.7636137, -1.0795853))",unclassified,road
"((106.9892138, -6.885049), (106.9892497, -6.885045))",service,road
"((107.1273701, -6.2669979), (107.1277919, -6.2669979))",service,road
"((108.5411279, -7.3668573), (108.5411118, -7.3667749))",service,road
"((109.6760564, -7.2708921), (109.6758001, -7.2709504))",tertiary,road
"((106.9219695, -6.6844533), (106.9219111, -6.6842757))",service,road
"((111.4780213, -7.6210374), (111.4779818, -7.6212682))",service,road
"((107.4532467, -6.4531807), (107.4531609, -6.4542041))",service,road
"((112.0463203, -7.3079328), (112.0463831, -7.3072782))",secondary,road
"((111.5476573, -8.0472519), (111.547734, -8.0471313))",unclassified,road
"((38.1225894, -1.9098204), (38.1226752, -1.9109999))",unclassified,road
"((115.9773767, -32.0322922), (115.9765527, -32.0315797))",secondary,road
"((57.4643456, -20.3062677), (57.4650246, -20.3058299))",service,road
"((34.4493736, -1.6850489), (34.44916, -1.6848148))",unclassified,road
"((48.1721279, -15.6158789), (48.1715593, -15.61638))",unclassified,road
"((107.5544538, -7.0900783), (107.5543961, -7.0900869))",unclassified,road
"((107.1255954, -6.3324775), (107.1255901, -6.3323536))",service,road
"((106.8496504, -6.6866484), (106.8497059, -6.6866539))",unclassified,road
"((109.4579314, -7.7582263), (109.4578914, -7.7582455))",primary,road
"((110.9944724, -7.9551284), (110.9944055, -7.9555943))",unclassified,road
"((110.6021947, -7.7480863), (110.6019882, -7.7479184))",unclassified,road
"((34.1527556, -1.638669), (34.153012, -1.639178))",unclassified,road
"((115.8550045, -31.8657606), (115.8550059, -31.8656754))",primary,road
"((57.5222952, -20.0849821), (57.5226898, -20.0852038))",service,road
"((106.6520139, -6.3055985), (106.6519466, -6.3055199))",service,road
"((110.3893744, -7.0138137), (110.3894334, -7.0139122))",service,road
"((145.4449527, -36.0992146), (145.4456876, -36.0992146))",secondary,road
"((145.1510694, -37.9790219), (145.1510002, -37.9790139))",tertiary,road
"((104.4498668, -2.3486777), (104.4503756, -2.3493057))",unclassified,road
"((119.7743332, -5.5961303), (119.7745438, -5.5958941))",unclassified,road
"((124.7059742, -9.6254024), (124.705655, -9.6254288))",unclassified,road
"((123.4461349, -8.4459727), (123.4461694, -8.4459707))",unclassified,road
"((119.6703829, -3.9999492), (119.6695884, -4.0002193))",unclassified,road
"((114.0886583, -8.2701126), (114.0884284, -8.2700896))",unclassified,road
"((115.2529187, -8.674407), (115.2529576, -8.6744315))",service,road
"((144.9512652, -36.2510802), (144.9512638, -36.2511039))",tertiary,road
"((151.0111385, -33.884352), (151.0111128, -33.8843478))",secondary,road
"((145.8408369, -41.1394767), (145.8406527, -41.1391487))",service,road
"((150.2668186, -27.0134798), (150.2669969, -27.0136363))",service,road
"((138.863804, -34.4796255), (138.8628243, -34.4803036))",unclassified,road
"((144.9038852, -37.5991691), (144.9038774, -37.5991591))",tertiary,road
"((114.3449548, -8.313349), (114.3449776, -8.3131978))",service,road
"((123.1639886, -8.4363075), (123.1639752, -8.4363331))",tertiary,road
"((112.6916504, -7.702665), (112.6916733, -7.70272))",service,road
"((147.0369754, -41.3607006), (147.0374593, -41.3609982))",service,road
"((152.3920437, -24.7775279), (152.3932479, -24.777439))",tertiary,road
"((112.9475353, -8.2131395), (112.9476891, -8.2132459))",service,road
"((114.6056467, -8.3871478), (114.6053007, -8.3882318))",tertiary,road
"((105.6351137, -5.6021434), (105.63512, -5.6020297))",unclassified,road
"((120.1846864, -8.6040388), (120.1847991, -8.6040063))",tertiary,road
"((153.5693021, -28.2572366), (153.5689665, -28.2569656))",service,road
"((105.1450142, -4.277052), (105.1450034, -4.2760423))",tertiary,road
"((147.568655, -37.8371776), (147.5687968, -37.8372326))",secondary,road
"((102.4712902, -0.4254427), (102.4718642, -0.4250324))",service,road
"((138.6805469, -34.3885781), (138.68075, -34.3871268))",secondary,road
"((103.4120825, -4.8151347), (103.4121186, -4.8152027))",service,road
"((117.3223838, -0.1958371), (117.3223074, -0.1957821))",service,road
"((144.3408894, -38.1389882), (144.340903, -38.1389184))",service,road
"((116.2537743, -3.8802921), (116.2537429, -3.8804537))",service,road
"((147.2219676, -42.6613358), (147.2210656, -42.6616418))",service,road
"((125.4530019, -8.7124647), (125.452422, -8.7116697))",service,road
"((142.8047572, -37.2007378), (142.8051068, -37.2008479))",unclassified,road
"((151.6700012, -30.2492664), (151.670417, -30.2493475))",service,road
"((149.538158, -29.238082), (149.5369778, -29.2396173))",service,road
"((113.0968222, -1.451802), (113.0968791, -1.4518442))",primary,road
"((138.7109446, -34.6974597), (138.7108106, -34.6974074))",tertiary,road
"((145.8230992, -41.0647315), (145.8233718, -41.0648676))",service,road
"((153.1629611, -27.7093019), (153.1629812, -27.7092254))",service,road
"((115.3306907, -8.2332929), (115.330865, -8.2332663))",unclassified,road
"((150.7529299, -33.8736653), (150.7535561, -33.873755))",primary,road
"((115.2282625, -8.6307), (115.2282847, -8.6307994))",tertiary,road
"((105.1158338, -4.9395093), (105.1145496, -4.9400875))",secondary,road
"((147.6320764, -37.825966), (147.6324076, -37.8269894))",tertiary,road
"((106.1390246, -2.6030074), (106.1392593, -2.603144))",service,road
"((142.126376, -34.1984898), (142.1263737, -34.1984704))",tertiary,road
"((150.6846189, -32.3944058), (150.6845706, -32.3944851))",service,road
"((152.0380421, -28.2479264), (152.0379227, -28.247924))",service,road
"((110.8291769, -6.9549188), (110.8293083, -6.9533719))",unclassified,road
"((146.2759963, -41.4085322), (146.276286, -41.4082968))",service,road
"((147.9577383, -35.2747719), (147.9576766, -35.2748441))",service,road
"((151.6454136, -32.8022999), (151.6458798, -32.8023503))",service,road
"((116.8566028, -0.5576903), (116.8566413, -0.5577454))",service,road
"((150.8019662, -34.0782895), (150.8017585, -34.0784505))",tertiary,road
"((103.4856834, -1.9897908), (103.4856871, -1.9894118))",tertiary,road
"((112.9360884, -2.5563177), (112.9360923, -2.5561109))",service,road
"((114.996466, -3.8215937), (114.9963561, -3.8215268))",service,road
"((119.9146334, -0.8978215), (119.9149604, -0.8979067))",unclassified,road
"((147.6607115, -37.8981325), (147.6608003, -37.8982515))",secondary,road
"((106.1978254, -2.6973134), (106.1982596, -2.6974087))",secondary,road
"((115.1481946, -8.481493), (115.148031, -8.4820567))",tertiary,road
"((138.7058379, -34.8269902), (138.7059663, -34.8269605))",primary,road
"((145.0077617, -37.3729112), (145.0077027, -37.3731926))",service,road
"((132.2632865, -2.9219958), (132.263261, -2.9220312))",service,road
"((145.0687149, -37.9761443), (145.0688292, -37.9762985))",service,road
"((110.085572, -6.9803128), (110.0858939, -6.9804379))",service,road
"((116.2121924, -21.7063274), (116.2121089, -21.706916))",unclassified,road
"((145.1497444, -34.4606337), (145.1498061, -34.4605807))",service,road
"((111.5421462, -2.0552481), (111.5424816, -2.0552803))",service,road
"((102.7158675, -2.3027228), (102.7159426, -2.3029734))",tertiary,road
"((147.6626965, -37.6817391), (147.6603806, -37.6841048))",tertiary,road
"((118.5769663, -20.3131622), (118.5769893, -20.3132075))",tertiary,road
"((142.793688, -35.5624233), (142.7928217, -35.5636613))",unclassified,road
"((149.3869996, -33.7121726), (149.3872447, -33.7126082))",primary,road
"((151.1997169, -33.9570276), (151.1995665, -33.9570157))",service,road
"((146.0003177, -38.1868875), (146.0002785, -38.1869799))",tertiary,road
"((145.3100655, -38.0631321), (145.3102889, -38.0630169))",tertiary,road
"((111.2975339, -6.9444016), (111.297573, -6.9444171))",primary,road
"((144.5934302, -37.8675614), (144.5935904, -37.8675927))",tertiary,road
"((151.1016878, -32.6176759), (151.1016615, -32.6175549))",primary,road
"((151.2422012, -33.9529666), (151.2422257, -33.9530585))",primary,road
"((122.5200556, -4.0085408), (122.5204673, -4.008617))",service,road
"((151.2929669, -33.7719265), (151.2929917, -33.7719186))",tertiary,road
"((112.9645559, -2.2358314), (112.9647422, -2.2356994))",service,road
"((119.4085351, -5.1469518), (119.4086154, -5.1468109))",service,road
"((115.5483815, -1.9699062), (115.5483042, -1.970001))",service,road
"((119.4953883, -5.1603817), (119.4958154, -5.1605862))",tertiary,road
"((152.8804292, -31.4593284), (152.8804541, -31.4593898))",service,road
"((145.2131388, -37.8186639), (145.2131367, -37.8185189))",service,road
"((141.1671896, -25.1124586), (141.1666376, -25.1119773))",primary,road
"((112.6830098, -7.2356527), (112.6828865, -7.2356499))",service,road
"((149.5705367, -32.5979677), (149.5703748, -32.5988639))",unclassified,road
"((149.5634216, -33.6912578), (149.5634964, -33.6908992))",tertiary,road
"((116.8371584, -0.3157577), (116.8371575, -0.3159479))",service,road
"((145.0068144, -37.9308831), (145.0067428, -37.9309719))",service,road
"((123.6701969, -10.1867674), (123.6700776, -10.1865615))",tertiary,road
"((137.5936556, -34.7748021), (137.5935072, -34.7751411))",service,road
"((153.3386547, -27.9251946), (153.3386311, -27.925229))",service,road
"((149.05627, -35.2352921), (149.0569114, -35.2354611))",secondary,road
"((113.0482572, -7.1938365), (113.048053, -7.1944227))",primary,road
"((116.3050577, -8.9017921), (116.3056187, -8.902183))",service,road
"((146.18808, -41.153423), (146.189285, -41.153297))",service,road
"((138.6701456, -34.6911638), (138.6701221, -34.6911627))",service,road
"((110.3519221, -7.0075204), (110.3520296, -7.0074451))",service,road
"((144.7485286, -37.7107479), (144.7485363, -37.7107705))",tertiary,road
"((151.0353991, -33.838621), (151.0350306, -33.8383911))",service,road
"((104.6890752, -5.2980131), (104.6889945, -5.298067))",tertiary,road
"((110.7773003, -6.5777028), (110.777185, -6.5776815))",tertiary,road
"((119.0746559, -2.5562379), (119.0742016, -2.5567165))",service,road
"((122.1935614, -3.5773852), (122.1931802, -3.5773686))",service,road
"((149.62694, -33.0524313), (149.6270286, -33.0523121))",tertiary,road
"((109.924987, -7.0050399), (109.9249839, -7.0052655))",secondary,road
"((111.0093457, -6.8438261), (111.0088534, -6.8449902))",primary,road
"((106.4189091, -2.4980319), (106.418885, -2.4980721))",service,road
"((116.140569, -2.2664707), (116.1405985, -2.2664573))",service,road
"((112.4670587, -6.9816061), (112.4671158, -6.9815087))",unclassified,road
"((112.2675389, -2.567302), (112.2764367, -2.5675063))",service,road
"((145.5412985, -33.4779225), (145.5416384, -33.4758342))",tertiary,road
"((152.995605, -27.9854431), (152.9956538, -27.9858342))",primary,road
"((124.7736966, -9.7657363), (124.773581, -9.7656281))",unclassified,road
"((151.69699, -33.0194407), (151.6976845, -33.0193238))",service,road
"((142.1832083, -36.7176005), (142.1831383, -36.7175836))",service,road
"((116.2415331, -8.8037898), (116.2413859, -8.8037726))",tertiary,road
"((116.1906418, -1.9265157), (116.1907314, -1.9266666))",service,road
"((146.2270035, -38.2809869), (146.2310508, -38.2782235))",tertiary,road
"((144.7532072, -37.794773), (144.7532405, -37.7947825))",motorway,road
"((153.2671469, -28.9758487), (153.267265, -28.9759989))",service,road
"((116.4434058, -8.7662977), (116.4433502, -8.7663905))",tertiary,road
"((112.7260914, -8.2816215), (112.7262548, -8.2815487))",unclassified,road
"((144.9180375, -37.8097435), (144.918129, -37.8097819))",service,road
"((118.6676785, -8.4829557), (118.6679186, -8.4827226))",secondary,road
"((116.8651157, -20.7297901), (116.8650984, -20.7299109))",service,road
"((152.7335575, -26.0009569), (152.7338942, -26.0009051))",tertiary,road
"((143.9314876, -37.2818212), (143.9267887, -37.2813482))",unclassified,road
"((153.1418171, -27.0535678), (153.1419562, -27.0535409))",tertiary,road
"((151.0062543, -33.7297489), (151.0060061, -33.7295516))",service,road
"((144.5974891, -37.6950782), (144.6029695, -37.6952684))",motorway,road
"((152.9128619, -30.7309449), (152.9129769, -30.7307617))",tertiary,road
"((145.0943899, -37.6031811), (145.0943802, -37.6031913))",service,road
"((122.4548256, -4.0458572), (122.454709, -4.0457461))",unclassified,road
"((141.039179, -31.8817939), (141.0392863, -31.8819944))",service,road
"((147.507036, -41.1729163), (147.505531, -41.1715333))",service,road
"((118.6924343, -8.5418308), (118.6924646, -8.5418058))",service,road
"((148.5119822, -36.4405192), (148.5121028, -36.4407955))",service,road
"((144.7713299, -37.8712695), (144.7712129, -37.8712603))",service,road
"((147.4200742, -35.1245924), (147.4201167, -35.1245355))",service,road
"((105.2402124, -4.9198637), (105.2402276, -4.9208313))",tertiary,road
"((112.6122455, -7.5587172), (112.6121541, -7.559005))",service,road
"((138.9293656, -34.5504812), (138.9276792, -34.5531346))",unclassified,road
"((113.8843987, -2.2353199), (113.884725, -2.2351328))",secondary,road
"((153.4738927, -28.1280419), (153.473936, -28.1279597))",service,road
"((153.0815612, -27.4160222), (153.0814879, -27.4159155))",service,road
"((144.7501696, -37.7562522), (144.750152, -37.7567684))",service,road
"((104.340602, -3.3403047), (104.3406409, -3.3402143))",tertiary,road
"((144.5600829, -37.7007395), (144.5600394, -37.7009819))",service,road
"((145.0403272, -37.6340708), (145.0402778, -37.6340659))",service,road
"((150.9869123, -33.8104287), (150.9868681, -33.810509))",tertiary,road
"((153.5268944, -28.8650219), (153.5268919, -28.8650223))",secondary,road
"((103.4088376, -1.558221), (103.4092568, -1.5585276))",tertiary,road
"((114.495475, -2.5702776), (114.5003499, -2.572383))",unclassified,road
"((113.4885363, -8.2161034), (113.488606, -8.2160378))",tertiary,road
"((114.3291128, -8.3691412), (114.3293004, -8.3687303))",unclassified,road
"((130.8609407, -12.3952848), (130.8610127, -12.3952742))",unclassified,road
"((112.739905, -7.2561073), (112.739817, -7.2561046))",secondary,road
"((111.0443358, -6.5246817), (111.0443213, -6.5246158))",tertiary,road
"((117.0656337, -0.4425538), (117.0658973, -0.4427463))",service,road
"((151.9592715, -27.5517975), (151.9594356, -27.5508194))",tertiary,road
"((144.3460772, -38.3116337), (144.3461415, -38.3115657))",service,road
"((144.1522016, -37.0233829), (144.1521497, -37.0233546))",service,road
"((138.5883116, -34.933627), (138.5883832, -34.9349173))",primary,road
"((153.0389089, -27.4518756), (153.0388734, -27.4518677))",service,road
"((151.8731504, -27.6079456), (151.8725712, -27.6081643))",primary,road
"((144.3297222, -38.1411173), (144.3297334, -38.1410316))",tertiary,road
"((151.5543041, -32.7311189), (151.5540922, -32.7310896))",service,road
"((153.4180987, -28.026419), (153.4187202, -28.0265182))",tertiary,road
"((147.5928514, -35.4695829), (147.5902184, -35.4709811))",motorway,road
"((147.4612054, -42.8764214), (147.4611423, -42.8765286))",service,road
"((113.802537, -7.088806), (113.8025142, -7.0888353))",tertiary,road
"((149.0518299, -35.354095), (149.0518021, -35.3541215))",secondary,road
"((104.6620327, -4.5378296), (104.6622875, -4.5377815))",tertiary,road
"((144.3791198, -38.0752649), (144.3788373, -38.0751696))",service,road
"((111.4217028, -6.8552742), (111.4216944, -6.8553582))",unclassified,road
"((150.1259373, -30.5623268), (150.1254471, -30.5619844))",service,road
"((114.7927165, -3.7982046), (114.7928445, -3.7982431))",unclassified,road
"((112.6950424, -7.3603756), (112.6948234, -7.3599119))",tertiary,road
"((104.8690482, -4.3870096), (104.8687789, -4.3870544))",service,road
"((120.0024638, -3.0514675), (120.0025021, -3.0514829))",unclassified,road
"((115.1002309, -21.6544125), (115.1001106, -21.6547086))",service,road
"((150.7380503, -34.1589522), (150.7379635, -34.159009))",service,road
"((150.7774386, -33.7473766), (150.7774651, -33.7473812))",secondary,road
"((153.4131624, -28.035981), (153.4132144, -28.0360294))",primary,road
"((104.0526322, -3.4731383), (104.0532705, -3.4725987))",service,road
"((13.0768332, 12.2918789), (13.0766566, 12.2917326))",unclassified,road
"((9.8937998, 11.7230236), (9.8939499, 11.7234105))",unclassified,road
"((1.1352181, 8.1173591), (1.1345154, 8.1171679))",unclassified,road
"((174.7958723, -36.9224539), (174.7959635, -36.9224442))",service,road
"((10.4167768, 11.3440418), (10.4163214, 11.343993))",unclassified,road
"((172.5674413, -43.5803729), (172.5675368, -43.5803372))",service,road
"((8.8543808, 10.0207712), (8.8544717, 10.0207786))",unclassified,road
"((8.0186072, 12.9715135), (8.0211916, 12.9714704))",primary,road
"((178.4602185, -18.121675), (178.4607299, -18.1218938))",service,road
"((175.7296136, -38.3835098), (175.728334, -38.3851141))",primary,road
"((7.607933, 5.1492218), (7.6078725, 5.1497793))",unclassified,road
"((3.1991137, 6.4991348), (3.1991112, 6.4996091))",secondary,road
"((7.3372089, 5.3472594), (7.3373886, 5.34728))",unclassified,road
"((30.2288083, 1.5468965), (30.2288146, 1.5474146))",tertiary,road
"((12.8465734, 12.2998693), (12.8458694, 12.3001053))",unclassified,road
"((4.3321967, 13.0242066), (4.3322416, 13.0242334))",unclassified,road
"((12.5682013, 12.9336228), (12.5704307, 12.9330985))",unclassified,road
"((11.5094085, 4.000356), (11.5095614, 4.0005968))",tertiary,road
"((178.4781691, -18.1098217), (178.4780297, -18.1094621))",secondary,road
"((14.6008761, 6.9302391), (14.6010395, 6.9300328))",unclassified,road
"((146.5235576, -5.6600223), (146.525505, -5.6612487))",tertiary,road
"((174.9085437, -37.3316049), (174.9085818, -37.3314663))",tertiary,road
"((8.5613205, 12.0060501), (8.5612251, 12.006067))",primary,road
"((5.1172725, 11.0244119), (5.1173562, 11.0246363))",unclassified,road
"((9.4692017, 13.6716804), (9.4691421, 13.6718983))",unclassified,road
"((176.868838, -39.4985349), (176.8684964, -39.4982837))",service,road
"((144.2096383, -5.8754478), (144.2097187, -5.8753731))",unclassified,road
"((9.8551521, 9.9807328), (9.8550823, 9.9809521))",unclassified,road
"((8.6423599, 13.8857844), (8.6422491, 13.8862348))",unclassified,road
"((6.5882644, 12.6547613), (6.588707, 12.6539186))",unclassified,road
"((7.9720728, 16.9477422), (7.9726767, 16.9473642))",tertiary,road
"((7.8558906, 4.6648638), (7.8563279, 4.6651837))",tertiary,road
