geometry,class,subtype
"((-70.6773897, -33.426403), (-70.6773816, -33.42643))",primary,road
"((-58.1613555, -35.8465151), (-58.1638317, -35.8488011))",tertiary,road
"((-52.8390816, -24.5863959), (-52.8394438, -24.5863263))",unclassified,road
"((-54.4570398, -27.6145587), (-54.4561554, -27.614895))",unclassified,road
"((-64.5636107, -31.9238627), (-64.5633015, -31.9228598))",service,road
"((-72.4753743, -51.7105941), (-72.4744356, -51.7094839))",service,road
"((-57.6477257, -25.275711), (-57.6477233, -25.2756968))",tertiary,road
"((-51.0870288, -26.2436935), (-51.0870546, -26.2436744))",secondary,road
"((-51.0722994, -26.7740338), (-51.0721843, -26.7740215))",service,road
"((-64.3584588, -30.4271232), (-64.3597236, -30.427484))",secondary,road
"((-71.863396, -37.0480802), (-71.8636993, -37.0480744))",tertiary,road
"((-68.8435678, -32.8965571), (-68.8435306, -32.8963761))",tertiary,road
"((-67.9970013, -38.9389183), (-67.9970258, -38.9389955))",service,road
"((-60.2693792, -38.3574969), (-60.2689841, -38.3577948))",secondary,road
"((-53.0330899, -27.139772), (-53.0327171, -27.1395524))",service,road
"((-56.234956, -26.933351), (-56.2349233, -26.9332748))",service,road
"((-63.2716948, -31.9390568), (-63.2716948, -31.9361234))",service,road
"((-70.6530813, -33.4343033), (-70.6531775, -33.4334186))",tertiary,road
"((-53.6745992, -27.2546033), (-53.6744959, -27.2545998))",unclassified,road
"((-60.4159046, -27.2958158), (-60.4159068, -27.2960854))",tertiary,road
"((-53.5373351, -29.9982262), (-53.5378146, -29.9975785))",unclassified,road
"((-53.9723057, -27.7967568), (-53.9721465, -27.7970667))",unclassified,road
"((-57.4881212, -25.2574843), (-57.4888313, -25.2573254))",primary,road
"((-55.0993089, -26.9333986), (-55.0992625, -26.9334577))",service,road
"((-68.2519627, -53.3750213), (-68.2505357, -53.3760709))",service,road
"((-66.3221655, -33.2674164), (-66.3217244, -33.267411))",unclassified,road
"((-73.0315325, -36.9013841), (-73.0315972, -36.9011764))",primary,road
"((-65.738259, -26.8685507), (-65.739375, -26.868304))",unclassified,road
"((-72.3329353, -39.6422735), (-72.3328286, -39.6422312))",service,road
"((-52.3235444, -31.7460918), (-52.3239121, -31.7453507))",secondary,road
"((-67.4907376, -45.8624098), (-67.4892181, -45.8624081))",primary,road
"((-71.2051004, -32.7931875), (-71.2050019, -32.7932734))",service,road
"((-53.1093264, -26.6184128), (-53.1095632, -26.618748))",service,road
"((-62.7394219, -35.983004), (-62.7382338, -35.9824061))",tertiary,road
"((-54.844387, -27.687373), (-54.8447786, -27.6876822))",unclassified,road
"((-51.1344883, -29.6909856), (-51.1344507, -29.6909821))",secondary,road
"((-51.0167849, -26.7604324), (-51.0166347, -26.7604432))",service,road
"((-68.4603804, -33.0820573), (-68.4600704, -33.0813975))",tertiary,road
"((-63.2360994, -36.7548333), (-63.2244736, -36.7455044))",unclassified,road
"((-55.0802736, -25.013799), (-55.079825, -25.0135958))",unclassified,road
"((-49.6344509, -29.1098998), (-49.6340054, -29.1089649))",tertiary,road
"((-71.3597605, -41.1629095), (-71.3596342, -41.1628723))",service,road
"((-58.526182, -34.505593), (-58.5262868, -34.5056611))",service,road
"((-49.9995382, -29.7262755), (-49.9989484, -29.7265216))",tertiary,road
"((-71.2520808, -29.9632154), (-71.2519877, -29.9622792))",tertiary,road
"((-56.307241, -25.0105461), (-56.3070975, -25.0101973))",service,road
"((-55.931032, -34.822208), (-55.9327598, -34.8231853))",primary,road
"((-52.2712696, -26.7340172), (-52.271511, -26.7327524))",tertiary,road
"((-70.6678052, -33.3389161), (-70.6678635, -33.3388933))",tertiary,road
"((-51.9955072, -29.5120128), (-51.9964765, -29.5117193))",tertiary,road
"((-70.8776219, -33.4501109), (-70.8775713, -33.4501193))",service,road
"((-51.5697402, -27.8629228), (-51.5697945, -27.8629117))",tertiary,road
"((-73.0600645, -40.6828107), (-73.0604602, -40.6828203))",service,road
"((-60.7342379, -27.5792934), (-60.7355447, -27.5792836))",secondary,road
"((-69.1458725, -33.3607858), (-69.1462326, -33.3602674))",primary,road
"((-53.9216699, -28.4135738), (-53.9217685, -28.4135762))",secondary,road
"((-58.2850713, -34.7973199), (-58.284041, -34.7968037))",tertiary,road
"((-60.3782, -30.2719118), (-60.3785744, -30.2718848))",unclassified,road
"((-71.4190253, -33.0473724), (-71.4190075, -33.0474628))",secondary,road
"((-70.6327848, -33.4777357), (-70.6321965, -33.4776524))",tertiary,road
"((-61.2783091, -38.0575789), (-61.3142653, -38.085645))",unclassified,road
"((-58.2784109, -34.7276235), (-58.2773352, -34.7270541))",tertiary,road
"((-54.6420619, -28.2892927), (-54.6408337, -28.2899612))",tertiary,road
"((-50.0950466, -29.9095128), (-50.0950854, -29.9096135))",secondary,road
"((-73.1227362, -37.8413589), (-73.1227738, -37.8414458))",unclassified,road
"((-54.7680478, -27.6102631), (-54.7673947, -27.609384))",unclassified,road
"((-53.2164483, -25.6202466), (-53.2165753, -25.6200108))",unclassified,road
"((-57.4345791, -25.2534326), (-57.4340291, -25.2538507))",service,road
"((-63.9151082, -27.8994467), (-63.915163, -27.8993149))",secondary,road
"((-52.5652146, -25.9774335), (-52.5650602, -25.9763689))",primary,road
"((-63.8366177, -31.9006328), (-63.8365209, -31.8889726))",unclassified,road
"((-60.6151811, -33.018721), (-60.614427, -33.0186962))",tertiary,road
"((-55.3983021, -25.318104), (-55.3969274, -25.3180095))",service,road
"((-63.859435, -36.5084267), (-63.8607574, -36.5084189))",tertiary,road
"((-61.1069141, -33.8911386), (-61.1068904, -33.8911567))",secondary,road
"((-68.8575465, -46.4480832), (-68.8566774, -46.4484214))",service,road
"((-72.8415025, -36.9889988), (-72.8415338, -36.9889956))",unclassified,road
"((-65.1965168, -24.2462375), (-65.1974146, -24.2457419))",service,road
"((-53.230587, -24.1831687), (-53.2250411, -24.1839161))",unclassified,road
"((-72.3665217, -39.3932412), (-72.3648294, -39.3935093))",tertiary,road
"((-58.506313, -34.6283141), (-58.5061744, -34.6284151))",secondary,road
"((-51.838025, -28.1695668), (-51.8376656, -28.1693457))",unclassified,road
"((-49.2691368, -28.8028049), (-49.2693882, -28.80276))",tertiary,road
"((-62.3129814, -38.6817364), (-62.3128938, -38.6816907))",unclassified,road
"((-58.4841567, -31.9249211), (-58.4915539, -31.9238369))",unclassified,road
"((-58.9778361, -27.4509774), (-58.9785612, -27.4503362))",secondary,road
"((-67.1510214, -39.0684239), (-67.1508514, -39.0684212))",unclassified,road
"((-52.0550814, -28.8411072), (-52.0549688, -28.8410649))",unclassified,road
"((-71.6247002, -43.1831568), (-71.6248935, -43.1831082))",service,road
"((-61.205104, -34.1196662), (-61.2003697, -34.1235922))",unclassified,road
"((-57.6996318, -36.3205078), (-57.6996533, -36.320452))",tertiary,road
"((-72.9032267, -7.6085928), (-72.903207, -7.6085716))",secondary,road
"((-46.9669725, -23.1415463), (-46.9670074, -23.1414865))",service,road
"((-78.6121291, -8.4891438), (-78.6136365, -8.4899662))",unclassified,road
"((-76.9515244, -12.1524906), (-76.9515139, -12.1524784))",service,road
"((-51.3261259, -24.845943), (-51.3270199, -24.846025))",unclassified,road
"((-80.7005694, -5.0104754), (-80.7004741, -5.0104963))",service,road
